,Open,High,Low,Close,Adj Close,Volume,,
1/29/1985,1277.719971,1295.48999,1266.890015,1292.619995,1292.619995,13560000,,0
1/30/1985,1297.369995,1305.099976,1278.930054,1293.912615,1287.880005,16820000,,
1/31/1985,1283.23999,1293.400024,1272.640015,1295.206528,1286.77002,14070000,,
2/1/1985,1276.939941,1286.109985,1269.77002,1296.501734,1277.719971,10980000,,
2/2/1985,1272.079956,1294.939941,1268.98999,1297.798236,1290.079956,11630000,,
2/3/1985,1294.060059,1301.130005,1278.599976,1299.096034,1285.22998,13800000,,
2/4/1985,1284.890015,1294.5,1275.069946,1300.39513,1280.589966,14610000,,
2/5/1985,1285,1297.040039,1279.810059,1301.695525,1290.079956,11440000,,
2/6/1985,1290.079956,1297.150024,1281.359985,1302.997221,1289.969971,8000000,,
2/7/1985,1287.98999,1291.73999,1268.660034,1304.300218,1276.060059,12600000,,
2/8/1985,1271.199951,1283.130005,1266.339966,1305.604518,1276.609985,11870000,,
2/9/1985,1277.829956,1304.660034,1274.51001,1306.910123,1297.920044,14050000,,
2/10/1985,1301.790039,1307.530029,1283.680054,1308.217033,1287.880005,14020000,,
2/11/1985,1289.199951,1296.27002,1275.069946,1309.52525,1282.02002,8730000,,
2/12/1985,1279.810059,1287.430054,1273.52002,1310.834775,1280.589966,6690000,,
2/13/1985,1280.150024,1292.51001,1272.530029,1312.14561,1283.130005,10760000,,
2/14/1985,1280.369995,1287.099976,1272.640015,1313.457756,1279.040039,8600000,,
2/15/1985,1277.939941,1286.550049,1269.98999,1314.771213,1275.839966,8500000,,
2/16/1985,1269.98999,1283.130005,1263.910034,1316.085985,1277.5,8420000,,
2/17/1985,1276.280029,1293.180054,1272.310059,1317.40207,1286.109985,11910000,,
2/18/1985,1285.670044,1295.27002,1274.400024,1318.719473,1281.030029,11900000,,
2/19/1985,1278.050049,1288.319946,1271.420044,1320.038192,1284.01001,8790000,,
2/20/1985,1285.339966,1309.959961,1282.689941,1321.35823,1299.359985,14730000,,
2/21/1985,1299.910034,1304.550049,1283.130005,1322.679588,1289.530029,12010000,,
2/22/1985,1290.079956,1300.02002,1281.030029,1324.002268,1291.849976,10060000,,
2/23/1985,1291.849976,1296.930054,1275.51001,1325.32627,1280.369995,10990000,,
2/24/1985,1276.829956,1283.23999,1265.459961,1326.651597,1271.530029,9870000,,
2/25/1985,1273.410034,1280.810059,1264.130005,1327.978248,1269.660034,9120000,,
2/26/1985,1268.77002,1277.050049,1260.930054,1329.306226,1268.550049,7710000,,
2/27/1985,1267.560059,1279.47998,1262.47998,1330.635533,1271.75,8340000,,
2/28/1985,1270.97998,1278.27002,1257.619995,1331.966168,1261.699951,8840000,,
3/1/1985,1258.719971,1269.209961,1254.199951,1333.298134,1260.050049,7950000,,
3/2/1985,1259.719971,1266.890015,1245.140015,1334.631432,1247.349976,11280000,,
